"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Alexander Chun, MD, PLLC","NY","Healthcare Provider","595","05/12/2020","Improper Disposal","Paper/Films","No",""
"Ashtabula County Medical Center","OH","Healthcare Provider","3683","05/08/2020","Hacking/IT Incident","Network Server","No",""
"Moorestown Visiting Nurse Association","NJ","Healthcare Provider","26465","05/07/2020","Hacking/IT Incident","Network Server","No",""
"Midmark RTLS Solutions, Inc.","MI","Business Associate","7422","05/05/2020","Hacking/IT Incident","Other","Yes",""
"The Nebraska Medical Center","NE","Healthcare Provider","1311","05/05/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"BJC Health System","MO","Business Associate","287876","05/05/2020","Hacking/IT Incident","Email","Yes",""
"Management and Network Services, LLC","OH","Business Associate","30132","05/04/2020","Hacking/IT Incident","Email","Yes",""
"Ann & Robert H. Lurie Children's Hospital of Chicago","IL","Healthcare Provider","4824","05/04/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Saint Francis Healthcare Partners","CT","Business Associate","38529","05/04/2020","Hacking/IT Incident","Email","Yes",""
"Meridian Health Services Corp.","IN","Healthcare Provider","111372","04/27/2020","Hacking/IT Incident","Email","No",""
"City of Detroit Health Department","MI","Healthcare Provider","1981","04/27/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Customized Computer Software","TX","Business Associate","500","04/26/2020","Hacking/IT Incident","Laptop","Yes",""
"United Cerebral Palsy Heartland","MO","Healthcare Provider","518","04/24/2020","Hacking/IT Incident","Email","No",""
"Ascension Eastwood Clinics ","MI","Healthcare Provider","999","04/23/2020","Unauthorized Access/Disclosure","Email","No",""
"Agility Center Orthopedics","AR","Healthcare Provider","13968","04/22/2020","Hacking/IT Incident","Email","No",""
"Houston Methodist Hospital","TX","Healthcare Provider","1987","04/17/2020","Theft","Other Portable Electronic Device","No",""
"Good Samaritan Hospital, Inc.","CA","Healthcare Provider","233835","04/17/2020","Hacking/IT Incident","Email","No",""
"John A. Grimaldi DO INC","CA","Healthcare Provider","912","04/16/2020","Unauthorized Access/Disclosure","Electronic Medical Record, Laptop, Other","No",""
"Advocate Aurora Health","WI","Healthcare Provider","27137","04/16/2020","Hacking/IT Incident","Email, Network Server","No",""
"Hartford HealthCare","CT","Healthcare Provider","2651","04/13/2020","Hacking/IT Incident","Email","No",""
"Doctors Community Medical Center","MD","Healthcare Provider","18481","04/13/2020","Hacking/IT Incident","Email","No",""
"Saint Francis Ministries","KS","Healthcare Provider","3680","04/10/2020","Hacking/IT Incident","Email","No",""
"Corpus Christi Rehabilitation Hospital","TX","Healthcare Provider","507","04/10/2020","Hacking/IT Incident","Email","No",""
"Brandywine Counseling & Community Services, Inc","DE","Healthcare Provider","4262","04/10/2020","Hacking/IT Incident","Network Server","No",""
"New Jersey Urology, LLC","NJ","Healthcare Provider","3000","04/06/2020","Hacking/IT Incident","Email","No",""
"Child, Family and Community Services, Inc.","CA","Health Plan","1658","04/03/2020","Theft","Laptop, Other Portable Electronic Device","No",""
"University of Utah","UT","Healthcare Provider","5000","04/03/2020","Hacking/IT Incident","Email","No",""
"Confidio, LLC","MD","Business Associate","3600","03/31/2020","Hacking/IT Incident","Email","Yes",""
"Washington University School of Medicine","MO","Healthcare Provider","14795","03/31/2020","Hacking/IT Incident","Email","No",""
"Affordacare Urgent Care Clinics","TX","Healthcare Provider","57411","03/31/2020","Hacking/IT Incident","Network Server","No",""
"University of Minnesota Physicians","MN","Healthcare Provider","683","03/30/2020","Hacking/IT Incident","Email","No",""
"Mid-Delaware Imaging","DE","Healthcare Provider","9875","03/30/2020","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server","No",""
"Brandywine Urology Consultants, PA","DE","Healthcare Provider","131825","03/27/2020","Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server","No",""
"Crossroads Technologies, Inc.","PA","Business Associate","897","03/27/2020","Hacking/IT Incident","Network Server","Yes",""
"UHHS Samaritan Medical Center","OH","Healthcare Provider","903","03/26/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"New Jersey Department of Human Services","NJ","Health Plan","2300","03/25/2020","Hacking/IT Incident","Network Server","No",""
"FACKLER FAMILY CHIROPRACTIC, LLC","OH","Healthcare Provider","1731","03/23/2020","Theft","Paper/Films","No",""
"Health Care Service Corporation","IL","Health Plan","575","03/23/2020","Unauthorized Access/Disclosure","Email","No",""
"Ambry Genetics Corporation","CA","Healthcare Provider","232772","03/22/2020","Hacking/IT Incident","Email","No",""
"University of Utah","UT","Healthcare Provider","3670","03/21/2020","Hacking/IT Incident","Email","No",""
"Otis R. Bowen Center for Human Services","IN","Healthcare Provider","35804","03/20/2020","Hacking/IT Incident","Email","No",""
"Lakewood Health System","MN","Healthcare Provider","1415","03/16/2020","Hacking/IT Incident","Email","No",""
"Foundation Medicine, Inc.","MA","Healthcare Provider","2999","03/13/2020","Hacking/IT Incident","Email","No",""
"North Texas Institute of Neurology and Headache","TX","Healthcare Provider","500","03/13/2020","Theft","Laptop","Yes",""
"Northeast Radiology","NY","Healthcare Provider","298532","03/11/2020","Hacking/IT Incident","Network Server","Yes",""
"The Prudential Insurance Company of America","NJ","Health Plan","1945","03/11/2020","Hacking/IT Incident","Network Server","Yes",""
"Walgreen Co. ","IL","Healthcare Provider","6681","02/28/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Ozark Orthopaedics, PA","AR","Healthcare Provider","15240","02/28/2020","Hacking/IT Incident","Email","No",""
"Vail Clinic, Inc. dba Vail Health Hospital ","CO","Healthcare Provider","710","02/27/2020","Unauthorized Access/Disclosure","Network Server, Other Portable Electronic Device","No",""
"Fairfield Anesthesia Associates LLC","CT","Healthcare Provider","800","02/27/2020","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Munson Healthcare","MI","Healthcare Provider","75202","02/26/2020","Hacking/IT Incident","Email","No",""
"Endeavor Energy Resources, L.P. ","TX","Health Plan","5103","02/20/2020","Hacking/IT Incident","Email","No",""
"East House Corporation","NY","Healthcare Provider","737","02/17/2020","Hacking/IT Incident","Email","No",""
"Armada Physical Therapy of Albuquerque, LLC","NM","Healthcare Provider","500","02/17/2020","Theft","Desktop Computer","No",""
"BST & Co. CPAs, LLP","NY","Business Associate","170000","02/16/2020","Hacking/IT Incident","Network Server","Yes",""
"Avalon Health Care Management, Inc.","UT","Business Associate","14500","02/14/2020","Hacking/IT Incident","Email","Yes",""
"United Regional Health Care System","TX","Healthcare Provider","1893","02/14/2020","Hacking/IT Incident","Email","No",""
"Tennessee Orthopaedic Alliance ","TN","Healthcare Provider","81146","02/14/2020","Hacking/IT Incident","Email","No",""
"Lakewood Resource and Referral Center dba Center for Health Education, Medicine and Dentistry","NJ","Healthcare Provider","12414","02/12/2020","Hacking/IT Incident","Network Server","No",""
"JDC Healthcare Management","TX","Healthcare Provider","45748","02/07/2020","Hacking/IT Incident","Email","No",""
"UnitedHealth Group Health Plan Single Affiliated Covered Entity","MN","Health Plan","3335","02/04/2020","Hacking/IT Incident","Network Server","Yes",""
"Arizona Pain and Spine Institute","AZ","Healthcare Provider","530","02/03/2020","Theft","Laptop","No",""
"Hospital Sisters Health System","IL","Healthcare Provider","16167","01/31/2020","Hacking/IT Incident","Email","No",""
"Central Kansas Orthopedic Group, LLC","KS","Healthcare Provider","17214","01/28/2020","Hacking/IT Incident","Network Server","No",""
"Cedarbrook Senior Care and Rehabilitation / County of Lehigh","PA","Healthcare Provider","688","01/24/2020","Unauthorized Access/Disclosure","Email","No",""
"Lafayette Regional Rehabilitation Hospital","IN","Healthcare Provider","1360","01/24/2020","Hacking/IT Incident","Desktop Computer, Email, Other","No",""
"Village Senior Services Corporation d/b/a VillageCareMAX","NY","Health Plan","2645","01/24/2020","Hacking/IT Incident","Email, Other","No",""
"Village Center for Care d/b/a VillageCare Rehabilitative and Nursing Center","NY","Healthcare Provider","674","01/24/2020","Hacking/IT Incident","Email, Other","No",""
"Manchester Ophthalmology, LLC","CT","Healthcare Provider","6846","01/24/2020","Hacking/IT Incident","Network Server","No",""
"UnitedHealth Group Health Plan Single Affiliated Covered Entity","MN","Health Plan","934","01/22/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"The Center for Neurological and Neurodevelopmental Health ","NJ","Healthcare Provider","11747","01/21/2020","Hacking/IT Incident","Email","No",""
"Solara Medical Supplies, LLC","CA","Healthcare Provider","1531","01/17/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Fondren Orthopedic Group L.L.P.","TX","Healthcare Provider","30049","01/17/2020","Hacking/IT Incident","Network Server","No",""
"Children's Hope Alliance","NC","Healthcare Provider","4564","01/14/2020","Hacking/IT Incident","Email","No",""
"PIH Health","CA","Healthcare Provider","199548","01/10/2020","Hacking/IT Incident","Email","No",""
"Spectrum Healthcare Partners","ME","Healthcare Provider","11308","01/10/2020","Hacking/IT Incident","Email","No",""
"Lawrenceville Internal Medicine Assoc, LLC","NJ","Healthcare Provider","8031","01/02/2020","Unauthorized Access/Disclosure","Email","No",""
"The Center for Facial Restoration, Inc.","FL","Healthcare Provider","3600","12/26/2019","Hacking/IT Incident","Network Server","No",""
"PediHealth, PLLC, dba Children's Choice Pediatrics","TX","Healthcare Provider","12689","12/20/2019","Hacking/IT Incident","Network Server","No",""
"Roosevelt General Hospital","NM","Healthcare Provider","28847","12/19/2019","Hacking/IT Incident","Network Server","No",""
"Texas Family Psychology Associates, P.C.","TX","Healthcare Provider","12000","12/17/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"INTEGRIS Health, Inc.","OK","Healthcare Provider","500","12/16/2019","Loss","Other Portable Electronic Device","No",""
"Sinai Health System","IL","Healthcare Provider","12578","12/13/2019","Hacking/IT Incident","Email","No",""
"Marion Eye Center, LTD.","IL","Healthcare Provider","811","12/13/2019","Loss","Paper/Films","No",""
"Jewish Social Service Agency","MD","Healthcare Provider","3145","12/12/2019","Hacking/IT Incident","Email","No",""
"Anwan Wellness LLC","GA","Healthcare Provider","530","12/09/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Adventist Health Simi Valley","CA","Healthcare Provider","62000","12/06/2019","Hacking/IT Incident","Email","No",""
"Children’s Hope Alliance","NC","Healthcare Provider","1002","12/06/2019","Theft","Laptop","No",""
"Beech Brook","OH","Healthcare Provider","2636","12/06/2019","Hacking/IT Incident","Email","No",""
"Speight Family Medical, LLC","TN","Healthcare Provider","2000","12/06/2019","Hacking/IT Incident","Network Server","No",""
"Equinox, Inc.","NY","Healthcare Provider","1021","12/06/2019","Hacking/IT Incident","Email","No",""
"Sunrise Community Health","CO","Healthcare Provider","7668","12/05/2019","Hacking/IT Incident","Email","No",""
"Walgreen Co.","IL","Healthcare Provider","3700","12/03/2019","Hacking/IT Incident","Electronic Medical Record, Other","No",""
"RiverKids Pediatric Home Health","TX","Healthcare Provider","10000","12/02/2019","Hacking/IT Incident","Email","No",""
"Nebraska Medicine","NE","Healthcare Provider","1149","11/27/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Ivy Rehab Network, Inc. and its affiliated companies","NY","Healthcare Provider","125000","11/26/2019","Hacking/IT Incident","Email","No",""
"Illinois Gastroenterology Group, LLC","IL","Healthcare Provider","1481","11/25/2019","Hacking/IT Incident","Email","No",""
"Penn-Mar Human Services","MD","Healthcare Provider","536","11/25/2019","Hacking/IT Incident","Email","No",""
"GeneDx, Inc. ","NJ","Healthcare Provider","851","11/22/2019","Hacking/IT Incident","Network Server, Other","Yes",""
"Southeastern Minnesota Oral & Maxillofacial Surgery","MN","Healthcare Provider","80000","11/22/2019","Hacking/IT Incident","Network Server","No",""
"OmniSeq, Inc.","NY","Healthcare Provider","3977","11/21/2019","Hacking/IT Incident","Email","No",""
"VA St. Louis Health Care System","MO","Healthcare Provider","595","11/21/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Saint Francis Medical Center","MO","Healthcare Provider","107054","11/20/2019","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Human Services, Inc.","PA","Healthcare Provider","1559","11/18/2019","Hacking/IT Incident","Email","No",""
"Solara Medical Supplies, LLC","CA","Healthcare Provider","114007","11/13/2019","Hacking/IT Incident","Email","No",""
"Select Health Network","IN","Business Associate","3582","11/13/2019","Hacking/IT Incident","Email","Yes",""
"University of North Carolina at Chapel Hill School of Medicine","NC","Healthcare Provider","3716","11/12/2019","Hacking/IT Incident","Email","No",""
"Outreach Health Services","TX","Healthcare Provider","500","11/08/2019","Hacking/IT Incident","Email","No",""
"The Brooklyn Hospital Center","NY","Healthcare Provider","26312","11/01/2019","Hacking/IT Incident","Network Server","No",""
"Washington University School of Medicine","MO","Healthcare Provider","3237","11/01/2019","Unauthorized Access/Disclosure","Email, Laptop","No",""
"Betty Jean Kerr People's Health Centers","MO","Healthcare Provider","152000","10/25/2019","Hacking/IT Incident","Network Server","No",""
"Corpus Christi Tots & Teens Pediatrics","TX","Healthcare Provider","31787","10/24/2019","Hacking/IT Incident","Network Server","No",""
"PerCSoft","WI","Business Associate","955","10/24/2019","Hacking/IT Incident","Other","Yes",""
"Kalispell Regional Healthcare","MT","Healthcare Provider","140209","10/22/2019","Hacking/IT Incident","Email","No",""
"Buckhead Smile Center, P.C.","GA","Healthcare Provider","1655","10/17/2019","Unauthorized Access/Disclosure","Email","No",""
"Walmart Inc.","AR","Healthcare Provider","4211","10/17/2019","Loss","Other Portable Electronic Device","No",""
"Humana Inc ","KY","Health Plan","756","10/02/2019","Unauthorized Access/Disclosure","Email","No",""
"CHI Health Orthopedics Clinic -Lakeside","NE","Healthcare Provider","48000","09/30/2019","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Choctaw Nation Health Service Authority","OK","Healthcare Provider","500","09/27/2019","Hacking/IT Incident","Email","No",""
"Women's Care Florida, LLC","FL","Healthcare Provider","528188","09/25/2019","Hacking/IT Incident","Network Server","No",""
"Magellan Healthcare","MD","Business Associate","55637","09/17/2019","Hacking/IT Incident","Email","Yes",""
"National Imaging Associates","MD","Business Associate","589","09/17/2019","Hacking/IT Incident","Email","Yes",""
